stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1004,1004,Berry & Sirron,Westbound - Far Side,32.713058,-97.252987,,,,,,0
1005,1005,Berry & Edgewood,Westbound - Near Side,32.71303,-97.255813,,,,,,0
1006,1006,Berry & Hatcher,Westbound - Far Side,32.71341,-97.258358,,,,,,0
1007,1007,Berry & Miller - Freddie,Westbound - Mid Block,32.714086,-97.263736,,,,,,0
1008,1008,Berry & Bright,Westbound - Near Side,32.714128,-97.271403,,,,,,0
1009,1009,Berry & Campbell - Little,Westbound - Mid Block,32.713603,-97.274352,,,,,,0
1013,1013,Berry & Canberra - Cobb Park,Westbound - Mid Block,32.709898,-97.294224,,,,,,0
1016,1016,Berry & Grove,Westbound - Far Side,32.706076,-97.322458,,,,,,0
1017,1017,Berry & Main,Westbound - Far Side,32.706061,-97.326769,,,,,,0
1018,1018,Berry & Hemphill,Westbound - Far Side,32.70597,-97.332253,,,,,,0
1019,1019,Berry & Willing - Ryan,Westbound - Mid Block,32.706123,-97.342261,,,,,,0
1022,1022,Berry & Cockrell,Eastbound - Near Side,32.706029,-97.359481,,,,,,0
1023,1023,Berry & Forest Park,Eastbound - Near Side,32.705944,-97.352932,,,,,,0
1024,1024,Berry & 6th,Eastbound - Near Side,32.705875,-97.34105,,,,,,0
1025,1025,Berry & Travis - Hemphill,Eastbound - Mid Block,32.705737,-97.332454,,,,,,0
1026,1026,Berry & Main,Eastbound - Far Side,32.705801,-97.326054,,,,,,0
1027,1027,Berry & I 35 - Evans,Eastbound - Mid Block,32.705824,-97.319172,,,,,,0
1028,1028,Pennsylvania & Lake,Westbound - Far Side,32.738558,-97.339836,,,,,,0
1029,1029,Pennsylvania & Summit,Westbound - Far Side,32.738558,-97.342657,,,,,,0
1030,1030,8th & Cooper,Southbound - Near Side,32.736169,-97.343758,,,,,,0
1031,1031,Magnolia & Hurley,Eastbound - Far Side,32.730574,-97.342663,,,,,,0
1032,1032,Magnolia & 6th - Lake,Eastbound - Mid Block,32.730588,-97.339848,,,,,,0
1033,1033,Magnolia & Henderson,Eastbound - Near Side,32.730579,-97.337903,,,,,,0
1034,1034,Magnolia & College - Alston,Eastbound - Mid Block,32.730567,-97.334687,,,,,,0
1036,1036,Rosedale & Evans,Eastbound - Far Side,32.731969,-97.317805,,,,,,0
1038,1038,Rosedale & Fabons,Eastbound - Near Side,32.732058,-97.311685,,,,,,0
1039,1039,Rosedale & Freeman - Argyle,Eastbound - Mid Block,32.731506,-97.308793,,,,,,0
1042,1042,Rosedale & Hall,Eastbound - Near Side,32.730825,-97.295403,,,,,,0
1043,1043,Rosedale & Stearns,Eastbound - Far Side,32.730676,-97.292127,,,,,,0
1044,1044,Rosedale & Conner,Eastbound - Far Side,32.730652,-97.287033,,,,,,0
1045,1045,Rosedale & McKenzie,Eastbound - Near Side,32.730647,-97.285102,,,,,,0
1046,1046,Rosedale & Campbell,Eastbound - Far Side,32.730602,-97.273442,,,,,,0
1047,1047,Rosedale & Wallace,Eastbound - Far Side,32.731229,-97.2695,,,,,,0
1048,1048,Rosedale & Arch,Eastbound - Far Side,32.731192,-97.265573,,,,,,0
1049,1049,Rosedale & Miller - Coleman,Eastbound - Mid Block,32.731122,-97.260965,,,,,,0
1050,1050,Rosedale & Hughes,Eastbound - Near Side,32.731109,-97.257841,,,,,,0
1054,1054,Rosedale & Andrew,Eastbound - Near Side,32.730616,-97.241134,,,,,,0
1055,1055,Stalcup & Mac Arthur - Wainright,Southbound - Mid Block,32.729444,-97.237475,,,,,,0
1057,1057,Stalcup & Alexander - Truman,Southbound - Mid Block,32.725345,-97.2375,,,,,,0
1058,1058,Stalcup & Bong,Southbound - Far Side,32.723983,-97.237517,,,,,,0
1060,1060,Stalcup & Fitzhugh - Anderson,Southbound - Mid Block,32.717766,-97.237992,,,,,,0
1061,1061,Stalcup & Cottey,Southbound - Near Side,32.715971,-97.237992,,,,,,0
1066,1066,Berry & Carey,Eastbound - Near Side,32.709331,-97.243502,,,,,,0
1067,1067,Berry & Raphael,Eastbound - Far Side,32.708538,-97.239155,,,,,,0
1068,1068,Stalcup & Norris - Pinson,Northbound - Mid Block,32.713489,-97.237864,,,,,,0
1069,1069,Stalcup & Alter,Northbound - Near Side,32.716251,-97.237838,,,,,,0
1070,1070,Stalcup & Fitzhugh,Northbound - Near Side,32.717774,-97.237835,,,,,,0
1072,1072,Stalcup & Bong,Northbound - Near Side,32.723881,-97.237359,,,,,,0
1073,1073,Stalcup & Alexander,Northbound - Near Side,32.725599,-97.237367,,,,,,0
1074,1074,Stalcup & Eisenhower,Northbound - Near Side,32.72755,-97.237336,,,,,,0
1075,1075,Stalcup & Mac Arthur,Northbound - Near Side,32.729261,-97.237335,,,,,,0
1076,1076,Rosedale & Andrew - Tierney,Westbound - Mid Block,32.730882,-97.240992,,,,,,0
1077,1077,Rosedale & Tierney,Westbound - Near Side,32.731324,-97.245597,,,,,,0
1079,1079,Rosedale & Edgewood,Westbound - Far Side,32.731344,-97.25409,,,,,,0
1080,1080,Rosedale & Hughes,Westbound - Near Side,32.731364,-97.25766,,,,,,0
1081,1081,Rosedale & Miller,Westbound - Near Side,32.731416,-97.263007,,,,,,0
1082,1082,Rosedale & Chicago,Westbound - Far Side,32.731345,-97.265586,,,,,,0
1083,1083,Rosedale & Ayers,Westbound - Near Side,32.731363,-97.269954,,,,,,0
1084,1084,Rosedale & Campbell,Westbound - Near Side,32.730801,-97.272634,,,,,,0
1085,1085,Rosedale & Binkley,Westbound - Near Side,32.73082,-97.281988,,,,,,0
1086,1086,Rosedale & McKenzie,Westbound - Near Side,32.73081,-97.284698,,,,,,0
1087,1087,Rosedale & Conner,Westbound - Near Side,32.730818,-97.287698,,,,,,0
1088,1088,Rosedale & Holmes,Westbound - Far Side,32.730848,-97.291016,,,,,,0
1089,1089,Rosedale & Sycamore Park,Westbound - Far Side,32.730853,-97.292458,,,,,,0
1090,1090,Rosedale & Hall,Westbound - Far Side,32.731071,-97.295891,,,,,,0
1091,1091,Rosedale & Ash Crescent,Westbound - Far Side,32.731615,-97.301894,,,,,,0
1092,1092,Rosedale & Riverside,Westbound - Far Side,32.731666,-97.303944,,,,,,0
1095,1095,Rosedale & New York,Westbound - Far Side,32.732214,-97.316806,,,,,,0
1098,1098,Magnolia & Alston - College,Westbound - Mid Block,32.730714,-97.334393,,,,,,0
1099,1099,Magnolia & Henderson,Westbound - Near Side,32.730719,-97.33748,,,,,,0
1100,1100,Magnolia & 6th,Westbound - Near Side,32.730713,-97.340077,,,,,,0
1103,1103,Pennsylvania & 5th,Eastbound - Near Side,32.738364,-97.338948,,,,,,0
1106,1106,Pine & Presidio,Northbound - Far Side,32.745227,-97.311821,,,,,,0
1124,1124,Riverside & Richmond,Southbound - Far Side,32.723174,-97.304464,,,,,,0
1125,1125,Riverside & Harvey,Southbound - Near Side,32.71991,-97.304483,,,,,,0
1126,1126,Riverside & Robert,Southbound - Near Side,32.715003,-97.304246,,,,,,0
1127,1127,Riverside & Glen Garden,Southbound - Far Side,32.710108,-97.304149,,,,,,0
1128,1128,Riverside & Berry,Southbound - Near Side,32.706522,-97.304308,,,,,,0
1129,1129,S Riverside & Rolling Hills,Southbound - Far Side,32.699646,-97.305259,,,,,,0
1131,1131,Riverside & Highpoint,Southbound - Near Side,32.692676,-97.300881,,,,,,0
1132,1132,Campus & Seminary,Southbound - Near Side,32.685203,-97.295861,,,,,,0
1133,1133,Campus & Regal Ridge,Southbound - Far Side,32.682275,-97.295886,,,,,,0
1134,1134,C A Roberson & Dub Shaw,Southbound - Near Side,32.668271,-97.285689,,,,,,0
1136,1136,Resource Connection Transfer Center,,32.675007,-97.299645,,,,,,0
1137,1137,Campus & Regal Ridge,Northbound - Far Side,32.682546,-97.295571,,,,,,0
1138,1138,Campus & Seminary,Northbound - Far Side,32.685351,-97.295552,,,,,,0
1139,1139,Campus & Seminary - Mansfield HWY,Northbound - Mid Block,32.68817,-97.295557,,,,,,0
1140,1140,Mansfield HWY & Horton - Alcannon,Eastbound - Mid Block,32.687152,-97.288977,,,,,,0
1145,1145,Riverside & High Point,Westbound - Far Side,32.69244,-97.300045,,,,,,0
1146,1146,Riverside & Timberline - Rolling Hills,Northbound - Mid Block,32.695885,-97.303853,,,,,,0
1147,1147,Riverside & Rolling Hills,Northbound - Near Side,32.699645,-97.305002,,,,,,0
1148,1148,Riverside & Berry,Northbound - Far Side,32.706493,-97.30404,,,,,,0
